standarization,learning_rate_init,hidden_layer_sizes,activation,RMSE_mean,RMSE_std,RMSE_min,RMSE_max,MAE_mean,MAE_std,MAE_min,MAE_max,R2_mean,R2_std,R2_min,R2_max
False,0.1,100,relu,0.7493937908804787,0.08912766648590618,0.6593989078254671,0.8376281576127098,0.6038386421780011,0.07826879902327932,0.5328543342665016,0.6877758776518014,0.1325450675512085,0.20417078566484137,-0.07362607444205471,0.3346549026243475
False,0.1,100,tanh,0.8280152335705816,0.004847361404616516,0.8227619475027889,0.8323149431615573,0.6736442864873834,0.023497739773461822,0.6545814796898966,0.6998969584448396,-0.04914880532066538,0.012273373810277747,-0.06004889577050898,-0.035854862733734505
False,0.1,1000-100,identity,0.7381754777164017,0.07376958539840907,0.6675515373898452,0.8147323993212371,0.5826360823261468,0.061867394234937804,0.5230465772407854,0.6465540327286776,0.16063338093656265,0.16771871347630576,-0.0157351659227265,0.31810090349039444
False,0.1,1000-100,logistic,0.8202778970737533,0.003449383985848548,0.8163025721453414,0.8224796708804624,0.6855243348416616,0.018080531511566196,0.6646473525885991,0.6961018538241015,-0.029621618447063975,0.008648975984830977,-0.03514421379266408,-0.01965403941195576
False,0.1,1000-100,relu,0.786764923265919,0.18894947176181645,0.6701713795532765,1.00476880846559,0.6363335666343065,0.1350704914471755,0.5578921562197019,0.7922986357694112,0.01638171433927919,0.48628511854375533,-0.5448375006627866,0.3127381009224913
False,0.1,1000-100,tanh,0.8783117032413316,0.011766000855956967,0.8681042804171838,0.8911804108291406,0.6979052896063312,0.0369841940528552,0.655389844724715,0.7226498902537792,-0.18059192507621416,0.031695362160691645,-0.21529518557822125,-0.15317258578120363
True,0.001,10,identity,0.6250733498812121,0.0016710999871237648,0.6231499513894292,0.6261691343549273,0.5034428768602639,0.0012494235857283147,0.5022142203765851,0.5047120804569685,0.40211927889648375,0.00319439287389758,0.4000240714080453,0.4057958986197532
True,0.001,10,logistic,0.6398489494682026,0.018421133166365483,0.6253838897636718,0.6605873922085789,0.5058737467144352,0.008580305076162026,0.5005941566258008,0.5157741258655586,0.37317638749444554,0.03630730989208783,0.3322543379147789,0.4015279221061838
True,0.001,10,relu,1.1857123672413488,0.10847070141407501,1.0873185018649547,1.3020276916525337,0.9320450486456177,0.07346507163505024,0.8560176684626297,1.0026470011520767,-1.1633436429955613,0.3980678588054535,-1.5941253402859372,-0.809106234530997
True,0.001,10,tanh,0.6327224014958096,0.010941475170012777,0.6222550338341017,0.644083200436728,0.508269252643815,0.011900248285109638,0.49945656114370385,0.5218062205325945,0.38727795291153705,0.021209546616863778,0.3652035966723145,0.40750136884435784
